,30 yr Mortgage Rate,10 yr Treasury Bond Rate
1971-04-02,7.33,5.6
1971-04-16,7.31,5.82
1971-04-23,7.31,6.01
1971-04-30,7.29,6.08
1971-05-07,7.38,6.25
1971-05-14,7.42,6.49
1971-05-21,7.44,6.53
1971-05-28,7.46,6.38
1971-06-04,7.52,6.26
1971-06-11,7.52,6.5
1971-06-18,7.54,6.58
1971-06-25,7.54,6.62
1971-07-02,7.54,6.69
1971-07-09,7.54,6.68
1971-07-16,7.6,6.66
1971-07-23,7.65,6.84
1971-07-30,7.69,6.85
1971-08-06,7.66,6.86
1971-08-13,7.73,6.68
1971-08-20,7.71,6.37
1971-08-27,7.69,6.33
1971-09-03,7.71,6.12
1971-09-10,7.67,6.12
1971-09-17,7.7,6.13
1971-09-24,7.67,6.16
1971-10-01,7.67,6.0
1971-10-08,7.63,5.94
1971-10-15,7.63,5.9
1971-10-22,7.58,5.9
1971-10-29,7.63,5.87
1971-11-05,7.59,5.72
1971-11-12,7.56,5.77
1971-11-19,7.54,5.79
1971-11-26,7.51,5.94
1971-12-03,7.49,5.88
1971-12-10,7.47,5.93
1971-12-17,7.48,5.93
1971-12-31,7.48,5.89
1972-01-07,7.46,5.88
1972-01-14,7.46,5.85
1972-01-21,7.43,5.99
1972-01-28,7.4,6.08
1972-02-04,7.35,6.08
1972-02-11,7.33,6.12
1972-02-18,7.31,6.06
1972-02-25,7.31,6.06
1972-03-03,7.32,6.02
1972-03-10,7.32,6.03
1972-03-17,7.31,6.08
1972-03-24,7.31,6.12
1972-04-07,7.25,6.18
1972-04-14,7.29,6.25
1972-04-21,7.29,6.2
1972-04-28,7.33,6.14
1972-05-05,7.33,6.17
1972-05-12,7.38,6.16
1972-05-19,7.38,6.1
1972-05-26,7.4,6.04
1972-06-02,7.36,6.09
1972-06-09,7.38,6.11
1972-06-16,7.38,6.1
1972-06-23,7.36,6.1
1972-06-30,7.38,6.15
1972-07-07,7.38,6.13
1972-07-14,7.4,6.1
1972-07-21,7.4,6.1
1972-07-28,7.4,6.12
1972-08-04,7.35,6.16
1972-08-11,7.41,6.14
1972-08-18,7.42,6.21
1972-08-25,7.42,6.26
1972-09-01,7.42,6.43
1972-09-08,7.42,6.56
1972-09-15,7.42,6.56
1972-09-22,7.41,6.62
1972-09-29,7.43,6.54
1972-10-06,7.41,6.52
1972-10-13,7.41,6.5
1972-10-20,7.44,6.47
1972-10-27,7.42,6.42
1972-11-03,7.43,6.3
1972-11-10,7.42,6.3
1972-11-17,7.42,6.24
1972-11-24,7.44,6.27
1972-12-01,7.45,6.29
1972-12-08,7.43,6.32
1972-12-15,7.43,6.35
1972-12-22,7.45,6.4
1972-12-29,7.45,6.41
1973-01-05,7.44,6.42
1973-01-12,7.44,6.44
1973-01-19,7.44,6.49
1973-01-26,7.43,6.53
1973-02-02,7.43,6.64
1973-02-09,7.43,6.63
1973-02-16,7.45,6.63
1973-02-23,7.45,6.61
1973-03-02,7.45,6.67
1973-03-09,7.45,6.68
1973-03-16,7.45,6.77
1973-03-23,7.45,6.76
1973-03-30,7.49,6.73
1973-04-06,7.51,6.64
1973-04-13,7.54,6.63
1973-04-27,7.56,6.69
1973-05-04,7.58,6.79
1973-05-11,7.64,6.82
1973-05-18,7.69,6.86
1973-05-24,7.7,6.91
1973-06-01,7.7,6.96
1973-06-08,7.73,6.87
1973-06-15,7.73,6.86
1973-06-22,7.75,6.91
1973-06-29,7.76,6.94
1973-07-06,7.89,7.03
1973-07-13,8.01,7.05
1973-07-20,8.12,7.17
1973-07-27,8.18,7.35
1973-08-03,8.26,7.53
1973-08-10,8.4,7.52
1973-08-17,8.55,7.28
1973-08-24,8.61,7.23
1973-08-31,8.66,7.25
1973-09-07,8.77,7.11
1973-09-14,8.81,7.21
1973-09-21,8.83,7.02
1973-09-28,8.85,6.9
1973-10-05,8.82,6.86
1973-10-12,8.83,6.75
1973-10-19,8.75,6.8
1973-10-26,8.68,6.72
1973-11-02,8.62,6.72
1973-11-09,8.59,6.76
1973-11-16,8.58,6.72
1973-11-23,8.57,6.7
1973-11-30,8.55,6.69
1973-12-07,8.53,6.74
1973-12-14,8.53,6.68
1973-12-21,8.53,6.78
1973-12-28,8.56,6.91
1974-01-04,8.56,6.94
1974-01-11,8.53,7.01
1974-01-18,8.55,6.98
1974-01-25,8.52,7.02
1974-02-01,8.48,7.0
1974-02-08,8.46,6.93
1974-02-15,8.46,6.93
1974-02-22,8.42,6.97
1974-03-01,8.41,7.08
1974-03-08,8.41,7.06
1974-03-15,8.4,7.18
1974-03-22,8.4,7.35
1974-03-29,8.41,7.41
1974-04-05,8.44,7.54
1974-04-19,8.63,7.51
1974-04-26,8.73,7.64
1974-05-03,8.87,7.65
1974-05-10,8.98,7.63
1974-05-17,8.97,7.57
1974-05-24,9.01,7.49
1974-05-31,9.03,7.52
1974-06-07,9.06,7.46
1974-06-14,9.11,7.5
1974-06-21,9.07,7.55
1974-06-28,9.1,7.64
1974-07-05,9.14,7.71
1974-07-12,9.19,7.85
1974-07-19,9.37,7.87
1974-07-26,9.42,7.79
1974-08-02,9.47,7.96
1974-08-09,9.5,8.03
1974-08-16,9.6,8.0
1974-08-23,9.62,8.15
1974-08-30,9.74,8.11
1974-09-06,9.88,8.09
1974-09-13,9.92,8.13
1974-09-20,10.0,8.02
1974-09-27,10.03,7.94
1974-10-04,10.02,8.02
1974-10-11,9.96,7.88
1974-10-18,9.99,7.86
1974-10-25,9.94,7.86
1974-11-01,9.87,7.8
1974-11-08,9.81,7.72
1974-11-15,9.81,7.61
1974-11-22,9.73,7.6
1974-11-29,9.72,7.64
1974-12-06,9.69,7.59
1974-12-13,9.63,7.38
1974-12-20,9.58,7.27
1974-12-27,9.56,7.39
1975-01-03,9.6,7.43
1975-01-10,9.49,7.37
1975-01-17,9.43,7.53
1975-01-24,9.35,7.64
1975-01-31,9.29,7.53
1975-02-07,9.2,7.38
1975-02-14,9.13,7.35
1975-02-21,9.07,7.22
1975-02-28,9.02,7.46
1975-03-07,9.0,7.52
1975-03-14,8.89,7.58
1975-03-21,8.86,7.84
1975-04-04,8.83,8.15
1975-04-11,8.81,8.22
1975-04-18,8.8,8.27
1975-04-25,8.84,8.25
1975-05-02,8.92,8.11
1975-05-09,8.88,8.08
1975-05-16,8.92,8.01
1975-05-23,8.92,8.02
1975-05-30,8.89,8.04
1975-06-06,8.89,7.88
1975-06-13,8.9,7.69
1975-06-20,8.88,7.94
1975-06-27,8.9,7.95
1975-07-03,8.88,8.05
1975-07-11,8.9,7.99
1975-07-18,8.89,8.06
1975-07-25,8.89,8.12
1975-08-01,8.89,8.26
1975-08-08,8.89,8.4
1975-08-15,8.93,8.48
1975-08-22,8.98,8.46
1975-08-29,9.02,8.22
1975-09-05,9.08,8.35
1975-09-12,9.16,8.57
1975-09-19,9.14,8.42
1975-09-26,9.14,8.45
1975-10-03,9.2,8.33
1975-10-10,9.21,8.15
1975-10-17,9.21,8.07
1975-10-24,9.26,8.0
1975-10-31,9.24,7.91
1975-11-07,9.19,7.91
1975-11-14,9.16,8.06
1975-11-21,9.12,8.21
1975-11-28,9.11,8.14
1975-12-05,9.11,8.13
1975-12-12,9.11,8.12
1975-12-19,9.08,7.88
1975-12-26,9.09,7.75
1976-01-02,9.1,7.77
1976-01-09,9.07,7.64
1976-01-16,9.01,7.79
1976-01-23,9.0,7.78
1976-01-30,8.9,7.8
1976-02-06,8.86,7.88
1976-02-13,8.83,7.82
1976-02-20,8.81,7.77
1976-02-27,8.75,7.77
1976-03-05,8.77,7.8
1976-03-12,8.75,7.71
1976-03-19,8.75,7.74
1976-03-26,8.75,7.64
1976-04-02,8.7,7.67
1976-04-09,8.7,7.52
1976-04-23,8.75,7.59
1976-04-30,8.75,7.67
1976-05-07,8.75,7.87
1976-05-14,8.75,7.93
1976-05-21,8.78,8.0
1976-05-28,8.78,7.96
1976-06-04,8.78,7.89
1976-06-11,8.83,7.86
1976-06-18,8.88,7.81
1976-06-25,8.9,7.83
1976-07-02,8.93,7.84
1976-07-09,8.93,7.78
1976-07-16,8.93,7.83
1976-07-23,8.9,7.84
1976-07-30,8.98,7.86
1976-08-06,9.0,7.84
1976-08-13,9.0,7.78
1976-08-20,9.0,7.76
1976-08-27,9.0,7.72
1976-09-03,9.0,7.65
1976-09-10,8.97,7.64
1976-09-17,8.97,7.49
1976-09-24,8.97,7.58
1976-10-01,8.9,7.49
1976-10-08,8.95,7.38
1976-10-15,8.95,7.31
1976-10-22,8.95,7.48
1976-10-29,8.9,7.42
1976-11-05,8.85,7.41
1976-11-12,8.8,7.43
1976-11-19,8.8,7.24
1976-11-26,8.8,6.99
1976-12-03,8.8,6.86
1976-12-10,8.8,6.82
1976-12-17,8.8,6.88
1976-12-31,8.78,6.81
1977-01-07,8.7,7.07
